#timestamp wx wy wz
1578481476.412500 -0.031450 0.035140 0.000222
1578481476.415000 -0.028767 0.033355 -0.001694
1578481476.417500 -0.033921 0.027300 -0.001664
1578481476.420000 -0.033028 0.021665 0.001009
1578481476.422500 -0.034897 0.022721 -0.004968
1578481476.425000 -0.029048 0.011197 -0.000969
1578481476.427500 -0.032271 0.016338 -0.002345
1578481476.430000 -0.023483 0.013463 0.002174
1578481476.432500 -0.020021 0.016609 -0.000232
1578481476.435000 -0.015803 0.015369 -0.001767
1578481476.437500 -0.007892 0.010160 -0.000803
1578481476.440000 0.002278 0.009894 -0.002503
1578481476.442500 -0.000757 0.006931 0.001524
1578481476.445000 0.004269 0.001173 0.001116
1578481476.447500 0.004908 -0.000188 0.003174
1578481476.450000 0.013873 -0.006261 -0.001517
1578481476.452500 0.013675 -0.004344 0.001530
1578481476.455000 0.015190 -0.015725 -0.001022
1578481476.457500 0.016591 -0.010350 0.000423
1578481476.460000 0.015847 -0.018880 -0.003013
1578481476.462500 0.021842 -0.023963 -0.005294
1578481476.465000 0.023888 -0.024785 -0.000994
1578481476.467500 0.023165 -0.025718 0.003725
1578481476.470000 0.026233 -0.025040 0.001688
1578481476.472500 0.029513 -0.025968 -0.000657
1578481476.475000 0.032133 -0.027403 0.000288
1578481476.477500 0.039524 -0.026858 0.001878
1578481476.480000 0.040120 -0.030012 0.002436
1578481476.482500 0.040975 -0.025432 0.000149
1578481476.485000 0.035968 -0.023882 0.004540
1578481476.487500 0.040171 -0.024809 0.001447
1578481476.490000 0.037739 -0.027344 0.000064
1578481476.492500 0.039603 -0.028528 0.001438
1578481476.495000 0.037633 -0.032166 0.002484
1578481476.497500 0.039709 -0.035694 -0.001740
1578481476.500000 0.032493 -0.027579 -0.002576
1578481476.502500 0.034276 -0.027457 -0.005618
1578481476.505000 0.032760 -0.017247 -0.006419
1578481476.507500 0.033943 -0.009599 0.000435
1578481476.510000 0.025186 -0.006236 -0.005333
1578481476.512500 0.017339 -0.000171 -0.001393
1578481476.515000 0.012109 0.003311 -0.000927
1578481476.517500 0.012861 0.005995 -0.004905
1578481476.520000 0.003754 0.009587 0.002953
1578481476.522500 -0.001615 0.010824 0.008409
1578481476.525000 -0.007954 0.006929 0.010937
1578481476.527500 -0.015618 0.004354 0.007236
1578481476.530000 -0.018765 0.007337 0.000818
1578481476.532500 -0.021246 0.008158 -0.003980
1578481476.535000 -0.032675 0.005583 -0.004669
1578481476.537500 -0.029156 0.004773 -0.006579
1578481476.540000 -0.030686 0.011818 -0.003356
1578481476.542500 -0.022630 0.014021 0.000980
1578481476.545000 -0.024725 0.018032 0.003277
1578481476.547500 -0.017588 0.019306 0.007987
1578481476.550000 -0.017507 0.017582 0.003259
1578481476.552500 -0.016020 0.021666 0.003958
1578481476.555000 -0.012328 0.022034 0.004163
